Shape, Mass, Dimensions
Cyl,1390.0,3.0,3.0
Cyl,2043.0,3.2,2.3
Box,10.0,0.3,0.2,0.2
Box,55.0,1.0,0.5,0.5
Box,95.0,0.5,0.5,0.5
Box,69.0,0.5,0.4,0.4
Box,69.0,0.5,0.4,0.4
Box,69.0,0.5,0.4,0.4
Box,40.0,0.4,0.2,0.2
Box,22.0,0.3,0.2,0.2
Box,35.0,0.2,0.3,0.3
Box,40.0,0.5,0.3,0.3
Box,40.0,0.5,0.3,0.3
Box,1.0,0.1,0.1,0.1
Box,93.0,0.5,0.5,0.5
Box,93.0,0.5,0.5,0.5
Box,4.0,0.3,0.1,0.1
Box,5.5,0.3,0.2,0.2
Box,220.0,0.4,0.4,0.4
Box,138.0,1.0,0.5,0.5
Box,15.0,0.4,0.2,0.2
Box,10.0,0.3,0.2,0.2
Box,12.0,0.24,0.24,0.24
