satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
CANX-2,08021H,0.0047808108820853,0.8357792167933136,0.0013811887233343
SEEDS II (CO-66),08021J,0.0028346846637009,0.0139761505960056,0.000888234874822
AMOS-3,08022A,0.1545799297835169,0.040707614440901,0.0059493954737684
GALAXY 18 (G-18),08024A,0.0050069032346243,2.752713412137616,11.556344642665126
YUBILEINY (RS30),08025A,0.0015914996097215,0.0026289415125576,0.0006326554901101
COSMOS 2437,08025B,0.0010698058532155,0.0074935439352494,3.23559556967644e-05
COSMOS 2438,08025C,0.0011644552395654,0.0798719421764182,0.0005276742097159
COSMOS 2439,08025D,0.0014672859897762,0.0496039439232893,0.000152582289835
FENGYUN 3A,08026A,0.0022813237640076,0.0033768326389324,0.0014450697425995
ZHONGXING-9,08028A,0.4058911894814975,0.163517772347786,0.0003462087269558
FGRST (GLAST),08029A,0.0072611836428268,0.3455943991830978,0.0813771665212708
SKYNET 5C,08030A,0.2781454875628963,0.8888096404066875,0.0024319343727917
TURKSAT 3A,08030B,0.4399684716267665,23.24274006630242,10.361422400467085
INTELSAT 25 (IS-25),08034A,0.0,0.0,0.0
ECHOSTAR 11,08035A,0.0030411047726456,2.495105466446378,0.0024941348043519
SUPERBIRD-C2,08038A,0.2047545081886202,0.0469648824300087,0.0033660323967711
INMARSAT 4-F3,08039A,0.900842526761284,233.07701972475925,0.2148770719542952
HUANJING 1A (HJ-1A),08041A,0.00520801776162,6.157370781099797,0.0022100100439526
HUANJING 1B (HJ-1B),08041B,0.0040398099736734,5.313686517976923,0.0026068509205711
GEOEYE 1,08042A,0.0034141813155942,0.0246010312573346,0.0015838159094194
NIMIQ 4,08044A,0.0128533755163652,0.2870859702032325,142.65489673296287
GALAXY 19 (G-19),08045A,3.622329438314699,145.91871315397617,20.88097961946094
THEOS,08049A,0.0031583584114578,0.4359274354693339,0.0020416041571696
SHIJIAN-6 03A (SJ-6 03A),08053A,0.01143299091153,28.355413456106536,0.0003742731730899
SHIJIAN-6 03B (SJ-6 03B),08053B,0.0006435319489521,0.5065501432146715,0.0013945492428696
COSMO-SKYMED 3,08054A,0.0057042205404057,18.37846601844,0.0001988032097341
