satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
NAVSTAR 58 (USA 190),06042A,9.120795224711648e-05,0.0015703965681131,6.845144243419848e-05,0,0,0
DIRECTV 9S,06043A,0.0035516209136864,2.155655143009435,0.00050193425093,0,0,0
OPTUS D1,06043B,0.012219479341433751,0.0034950377632389,0.0054501720864534,1,0,0
SHIJIAN-6 02A (SJ-6 02A),06046A,0.0058967334507603,8.258353138007315,0.0006325848142963,0,0,0
SHIJIAN-6 02B (SJ-6 02B),06046B,0.0045683889819915,0.8653111728570615,0.0031583072573923,0,0,0
DMSP 5D-3 F17 (USA 191),06050A,0.0021369836532839,0.0014575367991651,0.0031403662283596,0,0,0
BADR-4,06051A,0.012219479341433751,0.0609311569288978,0.0091490531941411,1,0,0
NAVSTAR 59 (USA 192),06052A,0.0004152619833945,0.0208601781623168,0.0008466022966002,0,0,0
WILDBLUE-1,06054A,0.0055242302103816,2.490843240138449,0.0002280185722582,0,0,0
LAPAN-TUBSAT,07001A,0.0019906880088718,1.248153158349404,0.0032281894522017,0,0,0
SKYNET 5A,07007B,0.012219479341433751,0.0935156944222332,0.0072982179751587,1,0,0
ANIK F3,07009A,0.0002188282710566,2.473991914968331,0.00349052081348,0,0,0
HAIYANG-1B,07010A,0.0019066062126486,0.0004919407923584,0.0008261007645875,0,0,0
SAUDISAT 3,07012B,0.0047082245851239,0.0067998715530636,0.0006008109325238,0,0,0
SAUDICOMSAT 7,07012C,0.0022566685420548,0.0321820280320777,0.0013088211489065,0,0,0
SAUDICOMSAT 6,07012E,0.0016767088030529,0.0384124859260904,0.0006109601071872,0,0,0
SAUDICOMSAT 5,07012H,0.0033027932247579,0.0242665242535787,0.001448268575422,0,0,0
SAUDICOMSAT 3,07012J,0.0036086485433846,0.0794243403550629,0.0015686512877881,0,0,0
SAUDICOMSAT 4,07012L,0.0026595888201024,0.0413884886465478,0.000672903212618,0,0,0
ASTRA 1L,07016A,0.012219479341433751,61.432091963097264,0.0282728386323794,1,0,0
GALAXY 17 (G-17),07016B,0.0604594539365822,2.106069925500433,5.4056714755697614e-05,0,0,0
YAOGAN-2,07019A,0.0027949275690228,0.0242026478513278,9.638249222227932e-05,0,0,0
GLOBALSTAR M069,07020C,4.2415427983583004e-06,0.0309462732311277,0.001068342614504,0,0,0
GLOBALSTAR M072,07020D,3.382379720039773e-05,0.0034450188265384,0.0012113403957207,0,0,0
COSMO-SKYMED 1,07023A,0.0028024403646643,0.6083865102605608,0.000110871104547,0,0,0
TERRASAR-X,07026A,0.0003914852363175,0.0481808497467623,0.0001975156818836,0,0,0
COSMOS 2428,07029A,0.0019032611167914,0.0017350920791513,0.0103597731392671,0,0,0
SAR-LUPE 2,07030A,0.0044821953958071,25.51350909356357,0.000841448410286,0,1,0
WORLDVIEW-1 (WV-1),07041A,0.0047395617680738,2.8259570868037267,0.0002068291517437,0,0,0
INTELSAT 11 (IS-11),07044B,0.012219479341433751,0.1431286889079062,0.0054001781768767,1,0,0
WGS F1 (USA 195),07046A,0.012219479341433751,22.6899094695223,0.01901756128441395,1,0,1
NAVSTAR 60 (USA 196),07047A,0.0034135401963625,0.1061681842116625,0.000342648798285,0,0,0
GLOBALSTAR M066,07048C,9.588733560595002e-05,0.0036660544688716,0.0019393152241628,0,0,0
COSMOS 2433 [GLONASS-M],07052A,0.0364081506721658,0.0875420602181516,0.0342900310783089,0,0,0
COSMOS 2432 [GLONASS-M],07052B,3.412070440231772e-05,0.0793578354181929,0.0087127202542369,0,0,0
YAOGAN-3,07055A,0.0053258191132511,5.353236036997108,0.0002450276212093,0,0,0
SKYNET 5B,07056B,0.012219479341433751,0.0759909122692703,0.0027099202650436,1,0,0
ASTRA 4A,07057A,0.0098577267170553,0.5951752020610765,0.0035244214087201,0,0,0
COSMO-SKYMED 2,07059A,0.0042510100694308,0.0348014902085765,0.0001025358537447,0,0,0
RADARSAT-2,07061A,0.0023508697469051,0.2243329406711527,0.0025632349069467,0,0,0
NAVSTAR 61 (USA 199),07062A,0.0056194615742929,0.010888234389388,0.0002258692404488,0,0,0
HORIZONS-2,07063B,0.012219479341433751,0.7152204435505163,0.0015360044894102,1,0,0
COSMOS 2434 [GLONASS-M],07065A,0.0012003131810188,0.2641225842196419,0.0085266615127048,0,0,0
COSMOS 2436 [GLONASS-M],07065C,0.0349208533791029,0.0600416797227462,0.0059000695992954,0,0,0
THURAYA-3,08001A,0.012219479341433751,0.1108915129261503,0.0068305402704456,1,0,0
THOR 5,08006A,0.012219479341433751,95.81961258513476,0.0927364260798767,1,0,0
AMC-14,08011A,0.012219479341433751,5.987870090299541,0.0010378917314987,1,0,0
NAVSTAR 62 (USA 201),08012A,0.0017225126532288,0.0019538814151804,4.971729078022668e-05,0,0,0
DIRECTV 11,08013A,0.012219479341433751,25.51350909356357,0.01901756128441395,1,1,1
ICO G1,08016A,0.0045322907270643,0.1225940820475529,0.0083543892455774,0,0,0
VINASAT-1,08018A,0.012219479341433751,31.663871950532275,0.01901756128441395,1,0,1
STAR ONE C2,08018B,0.012219479341433751,5.307687199819586,0.0037255667027902,1,0,0
CARTOSAT-2A,08021A,0.0069840925277835,0.932746594399166,0.000200701035606,0,0,0
CUTE-1.7+APD II (CO-65),08021C,0.0091160361465575,1.639888146206403,0.0012873412656128,0,0,0
