satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
ABS-4 (MOBISAT-1),04007A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 54 (USA 177),04009A,0.014375196307029,0.0363190366047021,0.0008283787769968
SHIYAN-1 (SY-1),04012A,0.0032914325929628,3.8020239716149815,0.0003902520130168
AMC-11,04017A,0.01251285276166695,29.426284397441364,0.01993180495107045
INTELSAT 10-02,04022A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 55 (USA 178),04023A,0.01251285276166695,29.426284397441364,0.01993180495107045
APRIZESAT 2,04025A,0.0020415139525274,3.0373222522445832e-05,8.856124765348407e-05
SAUDICOMSAT 1,04025D,0.0045285663622878,0.0055295447662438,0.0032079507815051
SAUDICOMSAT 2,04025E,0.0033766247146993,0.0236831261164488,0.0027368308916078
SAUDISAT 2,04025F,0.0022296626675183,0.0094419751791728,0.0020669866351943
APRIZESAT 1,04025G,0.0024205705709351,0.0032042786556378,0.0022425635382727
AURA,04026A,0.0037250947968976,0.1860378813870384,0.0009510594533605
ANIK F2,04027A,0.0013103622201171,1.981123334406265,0.0038463769120374
COSMOS 2407,04028A,0.001080048112437,0.0007239986294427,1.714669692094748e-05
SHIJIAN-6 01A (SJ-6 01A),04035A,0.011338914001566,3.5840566768884723,0.0005438013216619
SHIJIAN-6 01B (SJ-6 01B),04035B,0.0068322166910743,6.926509163203308,0.0024928874003928
COSMOS 2408,04037A,0.0008959310657695,0.006203004945823,0.0009689793948277
COSMOS 2409,04037B,0.0017767673463086,0.0842340247782638,0.0006559984305221
AMC-15,04041A,0.01251285276166695,29.426284397441364,0.01993180495107045
JB-3 3 (ZY 2C),04044A,0.0069104492979102,0.742915025802965,0.0001730307965397
NAVSTAR 56 (USA 180),04045A,0.0015638081029638,0.0146023719639432,0.000499583101572
SWIFT,04047A,0.01251285276166695,29.426284397441364,0.01993180495107045
NANOSAT-1,04049B,0.0049345694909394,0.1546433035125595,0.0009188651289923
COSMOS 2414,05002A,0.0029821073037861,9.11200646347885e-05,0.0001016033599861
NSS-10,05003A,0.01251285276166695,29.426284397441364,0.01993180495107045
INMARSAT 4-F1,05009A,0.01251285276166695,29.426284397441364,0.01993180495107045
IRS-P5 (CARTOSAT-1),05017A,0.0060039108508339,0.1936316175820844,0.0011323393579261
DIRECTV 8,05019A,0.01251285276166695,29.426284397441364,0.01993180495107045
GALAXY 28 (G-28),05022A,0.01251285276166695,29.426284397441364,0.01993180495107045
SJ-7,05024A,0.0065494585905501,3.784162869039392,0.0009908296441662
THAICOM 4,05028A,0.01251285276166695,29.426284397441364,0.01993180495107045
REIMEI (INDEX),05031B,0.0051437843372453,2.667099771985175,0.0005303254372212
ANIK F1R,05036A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 57 (USA 183),05038A,0.0001838228269216,0.0109831620374201,0.0019188734004719
SYRACUSE 3A,05041B,0.01251285276166695,29.426284397441364,0.01993180495107045
BEIJING 1,05043A,0.003661781814843,0.4432975965620889,0.0022771301831878
SINAH 1,05043D,0.0034427266174395,0.0043560465929464,0.0008679956180149
CUBESAT XI-V,05043F,0.0015958669855829,0.1517385269333403,0.0002242612417267
INMARSAT 4-F2,05044A,0.01251285276166695,29.426284397441364,0.01993180495107045
COSMOS 2416 (RODNIK-S 1),05048A,0.0012593732144078,0.0001581846295484,0.0040079769878524
METEOSAT-9 (MSG-2),05049B,0.01251285276166695,29.426284397441364,0.01993180495107045
EUTELSAT 174A,05052A,0.01251285276166695,29.426284397441364,0.01993180495107045
ECHOSTAR 10,06003A,0.01251285276166695,29.426284397441364,0.01993180495107045
SPAINSAT,06007A,0.01251285276166695,29.426284397441364,0.01993180495107045
JCSAT-5A,06010A,0.01251285276166695,29.426284397441364,0.01993180495107045
ASTRA 1KR,06012A,0.01251285276166695,29.426284397441364,0.01993180495107045
RESURS-DK 1,06021A,0.0054146208379778,1.264736116036303,0.0241011423355757
GALAXY 16 (G-16),06023A,0.01251285276166695,29.426284397441364,0.01993180495107045
ARIRANG-2 (KOMPSAT-2),06031A,0.0001367439206481,0.241342397357826,0.0008439251702321
EUTELSAT 33F,06032A,0.01251285276166695,29.426284397441364,0.01993180495107045
JCSAT-3A,06033A,0.01251285276166695,29.426284397441364,0.01993180495107045
SYRACUSE 3B,06033B,0.01251285276166695,29.426284397441364,0.01993180495107045
KOREASAT 5 (MUGUNGWHA 5),06034A,0.0196460108219407,0.5231261812162032,0.0098534047228282
HINODE (SOLAR-B),06041A,0.00320311523235,0.0396165346029031,0.001324106071793
NAVSTAR 58 (USA 190),06042A,9.284945208583038e-05,0.0016236951862611,7.798204408244838e-05
DIRECTV 9S,06043A,0.0035562050685521,2.165919549329986,0.0005286821614919
OPTUS D1,06043B,0.01251285276166695,29.426284397441364,0.01993180495107045
SHIJIAN-6 02A (SJ-6 02A),06046A,0.0062967538858411,12.346285880205835,0.0009462543960241
SHIJIAN-6 02B (SJ-6 02B),06046B,0.0045683734425276,0.9799952808590432,0.0031792226155411
DMSP 5D-3 F17 (USA 191),06050A,0.0021592138274705,0.0014804990379958,0.0031583574868956
BADR-4,06051A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 59 (USA 192),06052A,0.0004152715986547,0.0208601671339241,0.0008466037097327
WILDBLUE-1,06054A,0.0058253740452,2.53826318953763,0.0003019938536643
LAPAN-TUBSAT,07001A,0.0019924614959702,1.351353036714999,0.0032861627835547
SKYNET 5A,07007B,0.01251285276166695,29.426284397441364,0.01993180495107045
ANIK F3,07009A,0.0003281659112338,2.5066454433745307,0.0035384562657195
HAIYANG-1B,07010A,0.0019151011273281,0.0004919679811489,0.000840453347811
SAUDISAT 3,07012B,0.0047794433970014,0.0075680706080389,0.000605755707562
SAUDICOMSAT 7,07012C,0.0022738623600675,0.0361292991340809,0.001310582053442
SAUDICOMSAT 6,07012E,0.0016991633365716,0.0417022208538507,0.000620234173927
SAUDICOMSAT 5,07012H,0.0033183263274351,0.0288495276778254,0.0014562015610646
SAUDICOMSAT 3,07012J,0.0036837012594149,0.088462282460493,0.0016160215732158
SAUDICOMSAT 4,07012L,0.00271970059137,0.0478481948951412,0.0006883917757221
